RecordType|SourceSystemId|LegalEntity|ReportingEntity|CostCentre|GLKey|GLBalanceCurrencyCode|GLBalance|BankingORTradingBook|GroupReconciliationKey|GLBalanceInReportingCCY|ReportingBalanceCurrencyCode
B|HUBAU|'4435'||AUHBAP|04976-L|SGD|-999.99|T|MR63501|-1147.805|AUD
B|HUBAU|'4435'||AUHBAP|04289-A|AUD|313054.91|B|TG10913|292324.764|AUD
B|HUBAU|||AUHBAP|05629-L|AUD|-146910.93|T|YA62918|-145932.839|AUD
B|HUBAU|'4435'||AUHBAP|02114-L|xxx|-378670.69|T|QN24165|378670.69|AUD
B|HUBAU|'4435'||AUHBAP|01870-L|AUD|-57825.7|T|NQ70988|-56026.34|AUD
B|HUBAU|'4435'||AUHBAP|08858-L|AUD|-157338.83|B|BN26621|-180660.84|AUD
B|HUBAU|'4435'||AUHBAP|00935-L|AUD|-62568.34|B|TV23832|-62223.68|AUD
B|HUBAU|'4435'||AUHBAP|01744-A|CNY|234265.62|T|WU75552|1243589.387|AUD
B|HUBAU|'4435'||AUHBAP|03537-A|SGD|923330.12|T|WQ15737|843721.814|AUD
B|HUBAU|'4435'||AUHBAP|08533-L|SGD|-603162.38|B|YD96793|-652151.856|AUD
B|HUBAU|'4435'||AUHBAP|08782-A|SGD|401005.27|B|PU26329|496369.463|AUD
B|HUBAU|'4435'||AUHBAP|04021-L|AUD|-51372.94|T||-47680.462|AUD
|HUBAU|'4435'||AUHBAP|02154-L|AUD|-146549.19|B|VZ74385|-168941.02|AUD
B|HUBAU|'4435'||AUHBAP|06379-L|AUD|-746366.04|T|WD63942|-689086.738|AUD
B|HUBAU|'4435'||AUHBAP|07390-L|AUD|-1056277.61|T|JV45362|-1070270.318|AUD
B|HUBAU|'4435'||AUHBAP|01413-L|AUD|-1438357.11|T|HI95331|-1539755.513|AUD
B|HUBAU|'4435'||AUHBAP|00965-L|SGD|-999.99|T|WC09548|-1218.811|
B|HUBAU|'4435'||AHUBAP|01749-A|SGD|834115.64|B|YV49576|986780.271|AUD
B|HBEU|'4435'||AUHBAP|01284-L|AUD|-714258.0|T|SF44319|-623260.533|AUD
B|HUBAU|'4435'|||01506-L|AUD|-933853.74|B|VL12249|-972881.11|AUD
B|HUBAU|'4435'||AUHBAP|08094-A|AUD|280626.75|B|GG03496|292215.376|AUD
B|HUBAU|'4435'||AUHBAP|08350-L|SGD|-100892.65|T|WC87310|-102139.374|AUD
B|HUBAU|'4435'||AUHBAP|05581-L|CNY|-139007.45|T|MC03595|-713911.175|AUD
B|HUBAU|'4435'||AUHBAP|05265-L|SGD|-12034.03|T|KO93020|-13218.701|AUD
B|HUBAU|||AUHBAP|09400-A|AUD|280265.97|B|LF79327|272299.006|AUD
